#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"TargetUserSid","TargetUserName","TargetDomainName","TargetLogonId","LogonType","Id","Version","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","LevelDisplayName","OpcodeDisplayName","TaskDisplayName"
"S-1-5-18","BOB-WIN7$","LAB","0x184bca","3","4624","0","0","12544","0","-9214364837600034816","6966","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2120","bob-win7.lab.local","12/25/2016 5:29:04 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0xab398","3","4624","0","0","12544","0","-9214364837600034816","6942","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:48:30 PM",,,"security","Information","Info","Logon"
"S-1-5-18","SYSTEM","NT AUTHORITY","0x3e7","5","4624","0","0","12544","0","-9214364837600034816","6939","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x218","1604","bob-win7.lab.local","12/24/2016 10:47:23 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7bb4d","3","4624","0","0","12544","0","-9214364837600034816","6936","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:46 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7baf0","3","4624","0","0","12544","0","-9214364837600034816","6934","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:45 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7bac1","3","4624","0","0","12544","0","-9214364837600034816","6932","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:45 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7aaf2","3","4624","0","0","12544","0","-9214364837600034816","6927","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:25 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7aada","3","4624","0","0","12544","0","-9214364837600034816","6925","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:25 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7aabd","3","4624","0","0","12544","0","-9214364837600034816","6923","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","1604","bob-win7.lab.local","12/24/2016 10:46:25 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x79654","3","4624","0","0","12544","0","-9214364837600034816","6919","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:46:07 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7963c","3","4624","0","0","12544","0","-9214364837600034816","6917","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:46:07 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x79615","3","4624","0","0","12544","0","-9214364837600034816","6915","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:46:07 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x79500","3","4624","0","0","12544","0","-9214364837600034816","6912","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2152","bob-win7.lab.local","12/24/2016 10:45:52 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x78bcb","3","4624","0","0","12544","0","-9214364837600034816","6905","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:45:26 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x78bbb","3","4624","0","0","12544","0","-9214364837600034816","6903","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:45:26 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x78b98","3","4624","0","0","12544","0","-9214364837600034816","6901","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:45:26 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x78b8a","3","4624","0","0","12544","0","-9214364837600034816","6899","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:45:26 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x7899d","3","4624","0","0","12544","0","-9214364837600034816","6897","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2676","bob-win7.lab.local","12/24/2016 10:45:25 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-1104","alexander.bailey.sa","LAB","0x67844","3","4624","0","0","12544","0","-9214364837600034816","6894","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2588","bob-win7.lab.local","12/24/2016 10:42:19 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-1104","alexander.bailey.sa","LAB","0x67584","3","4624","0","0","12544","0","-9214364837600034816","6891","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","436","bob-win7.lab.local","12/24/2016 10:41:58 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x66ab9","3","4624","0","0","12544","0","-9214364837600034816","6888","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2688","bob-win7.lab.local","12/24/2016 10:38:12 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x65061","3","4624","0","0","12544","0","-9214364837600034816","6885","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2688","bob-win7.lab.local","12/24/2016 10:35:03 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-500","DoD_Admin","LAB","0x64d95","3","4624","0","0","12544","0","-9214364837600034816","6882","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x0","2688","bob-win7.lab.local","12/24/2016 10:34:48 PM",,,"security","Information","Info","Logon"
"S-1-5-21-1821399794-337311051-3185148185-1104","alexander.bailey.sa","LAB","0x3a035","7","4624","0","0","12544","0","-9214364837600034816","6876","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","0x228","3056","bob-win7.lab.local","12/24/2016 10:22:30 PM",,,"security","Information","Info","Logon"
