#TYPE Selected.System.Diagnostics.Eventing.Reader.EventLogRecord
"SubjectUserSid","SubjectUserName","SubjectDomainName","SubjectLogonId","NewProcessId","NewProcessName","TokenElevationType","ProcessId","CommandLine","Id","Version","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0x1d10","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\failure.log","4688","1","0","13312","0","-9214364837600034816","55397","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4404","lab-dc1.lab.local",,"12/24/2016 10:40:14 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0x1d58","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\success.log","4688","1","0","13312","0","-9214364837600034816","55382","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","4404","lab-dc1.lab.local",,"12/24/2016 10:40:04 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-18","LAB-DC1$","LAB","0x3e7","0x1dbc","C:\Windows\System32\wbem\WmiPrvSE.exe","%%1936","0x280","C:\windows\system32\wbem\wmiprvse.exe -secured -Embedding","4688","1","0","13312","0","-9214364837600034816","55359","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","6624","lab-dc1.lab.local",,"12/24/2016 10:39:05 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0x121c","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\failure.log","4688","1","0","13312","0","-9214364837600034816","55348","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","3820","lab-dc1.lab.local",,"12/24/2016 10:38:36 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0x1f6c","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\success.log","4688","1","0","13312","0","-9214364837600034816","55337","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","6416","lab-dc1.lab.local",,"12/24/2016 10:38:27 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-18","LAB-DC1$","LAB","0x3e7","0x1fe8","C:\Windows\System32\wbem\WmiPrvSE.exe","%%1936","0x280","C:\windows\system32\wbem\wmiprvse.exe -secured -Embedding","4688","1","0","13312","0","-9214364837600034816","55324","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","6416","lab-dc1.lab.local",,"12/24/2016 10:37:13 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-18","LAB-DC1$","LAB","0x3e7","0x1c64","C:\Windows\System32\wbem\WmiPrvSE.exe","%%1936","0x280","C:\windows\system32\wbem\wmiprvse.exe -secured -Embedding","4688","1","0","13312","0","-9214364837600034816","55303","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","6616","lab-dc1.lab.local",,"12/24/2016 10:35:38 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0xc98","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\success.log","4688","1","0","13312","0","-9214364837600034816","55239","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","5024","lab-dc1.lab.local",,"12/24/2016 10:29:35 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-18","LAB-DC1$","LAB","0x3e7","0x1da0","C:\Windows\System32\wbem\WmiPrvSE.exe","%%1936","0x280","C:\windows\system32\wbem\wmiprvse.exe -secured -Embedding","4688","1","0","13312","0","-9214364837600034816","55231","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","5024","lab-dc1.lab.local",,"12/24/2016 10:29:28 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
"S-1-5-21-1821399794-337311051-3185148185-500","dod_admin","LAB","0x27af5","0x1cd8","C:\Windows\System32\notepad.exe","%%1938","0xb74","""C:\windows\system32\NOTEPAD.EXE"" C:\Users\DoD_Admin\Desktop\localhost--141.csv","4688","1","0","13312","0","-9214364837600034816","55214","Microsoft-Windows-Security-Auditing","54849625-5478-4994-a5ba-3e3b0328c30d","Security","3820","lab-dc1.lab.local",,"12/24/2016 10:27:18 AM",,,"security","Information","Info","Process Creation","System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]"
